,,Defended,Left alone,Beaten,Edged,Caught,Runout,Stumped,Bowled,LBW,Boundary_bat,Runs_bat,Boundary_extras,R_extras,Catch_drop,Stumping_missed,Runout_missed,Bouncer,Yorker,Overthrow,great_save,poor_fielding,
37,"Topley to Azhar Ali, 1 run, a measured push to the right of mid-off, half a sliding stop but they run for the deflection",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
38,"Topley to Iftikhar Ahmed, no run, thumped into the covers with a pleasing tock of willow, but straight to the fielder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,"Willey to Azhar Ali, no run, driven into the covers again",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,"Willey to Azhar Ali, 1 run, forward and pushed into the covers",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
41,"Willey to Iftikhar Ahmed, no run, stands tall in defence, worked to mid-on",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,"Willey to Iftikhar Ahmed, no run, outside off, tight line, left alone. It's a strangely soporific passage of play",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,"Willey to Iftikhar Ahmed, no run, deep in the crease, defending with a vertical blade",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,"Willey to Iftikhar Ahmed, no run, outside off, probing length, but a chastened Pakistan line-up aren't even tempted to be aggressive against this pair at the moment. Woakes and the spinners on the other hand ...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,"Topley to Azhar Ali, 1 run, open-faced glide down to third man",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,"Topley to Iftikhar Ahmed, no run, back of a length, no width on offer, driven to mid-off",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,"Topley to Iftikhar Ahmed, no run",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,"Topley to Iftikhar Ahmed, no run, crashing cut, a fraction too wide, but Taylor at point snaffles with a full-length dive (which, admittedly, isn't a lot of length)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,"Topley to Iftikhar Ahmed, no run, squared up a touch on leg stump, defended",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,"Topley to Iftikhar Ahmed, FOUR, too wide, flogged through point on the up, and this time Taylor has no chance to cut it off",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
51,"Willey to Azhar Ali, no run, pushed back in the crease, up on the toes, defended",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,"Willey to Azhar Ali, 1 run, thumped into the deep, Topley is the cover sweeper",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
53,"Willey to Iftikhar Ahmed, no run, full length, attacking the pads, defended",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,"Willey to Iftikhar Ahmed, 1 run, short, pulled, not remotely middled, but dribbles into the leg side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
55,"Willey to Azhar Ali, no run, forward and defended to cover",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,"Willey to Azhar Ali, no run, very full, a hint of lateral movement, calmly pushed to mid-on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,"Topley to Iftikhar Ahmed, no run, on the pads, curling further leg-side, but worked back down the track",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,"Topley to Iftikhar Ahmed, no run, outside off, this one holds its line as a wafty flat-footed drive catches nothing but thin air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,"Topley to Iftikhar Ahmed, no run, smashed into the covers, a fine one-handed pick-up and very nearly a run-out! A direct hit would have been very tight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
60,"Topley to Iftikhar Ahmed, no run, defended back down the track",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,"Topley to Iftikhar Ahmed, no run, tight and probing, nothing for the batsman to do but bide his time",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,"Topley to Iftikhar Ahmed, no run, driven up to mid-on but that's a maiden.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,"Woakes to Azhar Ali, no run, a watchful start from bowler and batsman",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,"Woakes to Azhar Ali, no run, slower ball, tight to the stumps, defended to mid-on",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,"Woakes to Azhar Ali, no run, advancing down the track, the first sign of aggression, but Woakes saw him coming and followed him",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,"Woakes to Azhar Ali, FOUR, driven, and threaded supremely through wide mid-on. A fraction too tight to the leg side from a full length, and a full face of the bat met that one",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
67,"Woakes to Azhar Ali, 1 run, on the pads and flicked out to square leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
68,"Woakes to Iftikhar Ahmed, OUT, short, swiped, but that pull shot comes off the splice as if socked at with a wet welly, and mid-on completes a simple diving catch to put the skids under Pakistan's sttempts at a recovery",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,"Rashid to Azhar Ali, no run, tossed onto a good length, defended",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,"Rashid to Azhar Ali, 1 run, slightly leg-sided, clipped square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
71,"Rashid to Shoaib Malik, 1 run, full length, turning away, punched off the back foot to cover",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
72,"Rashid to Azhar Ali, 1 run, poked into the covers again",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
73,"Rashid to Shoaib Malik, no run, decent stride, patted back to the bowler",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,"Rashid to Shoaib Malik, 1 run, thumped out to the deep, but the field is well spread and few gaps on offer",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
75,"Woakes to Shoaib Malik, no run, short and splice-rattling, worked into the leg-side, a touch uncomfortably",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,"Woakes to Shoaib Malik, no run, fuller length, defended on the front foot",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,"Woakes to Shoaib Malik, no run, hustled defence, attacking the stumps again",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,"Woakes to Shoaib Malik, no run, tight line, watchful defence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,"Woakes to Shoaib Malik, no run, wider on the crease, attacking the stumps, pushed up to the bowler",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,"Woakes to Shoaib Malik, 1 run, a single into the covers",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
81,"Rashid to Shoaib Malik, 1 run, forward and defended",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
82,"Rashid to Azhar Ali, 1 run, swished into the covers",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
83,"Rashid to Shoaib Malik, no run, shorter, flatter, almost flipper-esque from Rashid! It looked like a horrid long-hop but it scuttled through, and after a long deliberation, the finger goes up, very reluctantly! But they are reviewing... it could have been missing leg ... and it surely was!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,"Rashid to Shoaib Malik, no run, full-length, and pushed into the leg-side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,"Rashid to Shoaib Malik, 2 runs, on the pads, worked off the back foot to square leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
86,"Rashid to Shoaib Malik, 1 run, driven on the up to point",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
87,"Woakes to Shoaib Malik, no run, full, straining for non-existent swing, pushed calmly to mid-on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,"Woakes to Shoaib Malik, 1 run, dabbed down to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
89,"Woakes to Azhar Ali, 1 run, turned off the toes to fine leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
90,"Woakes to Shoaib Malik, 1 run, up onto the toes, dabbed down to third man, and they give away a single with an unnecssary shy at the stumps that deflects into no-man's land",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
91,"Woakes to Azhar Ali, 1 leg bye, a pre-meditated gallop down the pitch and a hopped nurdle to third man, attempted leg glance but it clips the knee-roll and beats the keeper",0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,
92,"Woakes to Shoaib Malik, 1 run, another single to the cause",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
93,"Rashid to Shoaib Malik, no run, solid stride forward",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,"Rashid to Shoaib Malik, 1 run, back and across, clipped to midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
95,"Rashid to Azhar Ali, no run, nurdled from off to leg, but can't beat the fielder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,"Rashid to Azhar Ali, 1 run, swept, from outside off, into space behind square",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,"Rashid to Shoaib Malik, no run, tossed up, driven to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,"Rashid to Shoaib Malik, no run, a firmer drive this time, but well intercepted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,"Woakes to Azhar Ali, 1 run",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
100,"Woakes to Shoaib Malik, 1 run, slightly short, short-arm-pulled out to midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
101,"Woakes to Azhar Ali, 1 run, whisked off the hip from back of a length",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
102,"Woakes to Shoaib Malik, 1 run, worked into the leg-side again",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
103,"Woakes to Azhar Ali, 1 run, into the leg side again",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
104,"Woakes to Shoaib Malik, OUT, short, pulled, Taylor grabs at midwicket! A horrid wellied pull, right off the splice, no timing or placement and England have got their eyes on the series-levelling prize",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,"Rashid to Azhar Ali, 1 run, full on off stump, driven to long off",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
106,"Rashid to Mohammad Rizwan, 2 runs, goes down early for a neat paddle sweep, gets it through short fine leg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
107,"Rashid to Mohammad Rizwan, no run, very full, drilled to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,"Rashid to Mohammad Rizwan, no run, comes forward to drive, plays it into the pitch and back to the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,"Rashid to Mohammad Rizwan, 1 wide, big spin outside off, started wide and called wide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
110,"Rashid to Mohammad Rizwan, no run, nicely bowled! That's a good leg-break, draws him forward and beats the outside edge with some spin",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,"Rashid to Mohammad Rizwan, no run, beaten again! This time it's a slightly shorter delivery and he's trying to play off the back foot, the ball skids on",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,"Woakes to Azhar Ali, no run, driven carefully to mid-off",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,"Woakes to Azhar Ali, OUT, after the drought for Woakes comes the flood! Azhar drags on as he chases a delivery with a hint of width. It's an off-cutter which takes the bottom edge",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,"Woakes to Sarfraz Ahmed, no run, short outside off, loops over the top edge as Sarfraz tries to upper cut to third man",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,"Woakes to Sarfraz Ahmed, no run, full at off stump, driven to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,"Woakes to Sarfraz Ahmed, no run, back of a length, 86mph/139kph, defended",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,"Woakes to Sarfraz Ahmed, 1 run, full outside off, he opens the face down to third man",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118,"Rashid to Sarfraz Ahmed, 1 run, pushed out to deep cover",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
119,"Rashid to Mohammad Rizwan, no run, nicely bowled, full at middle, played into the off side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,"Rashid to Mohammad Rizwan, 1 run, swept from outside off to deep backward square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
121,"Rashid to Sarfraz Ahmed, 1 run, full, driven to deep cover",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
122,"Rashid to Mohammad Rizwan, no run, there's a googly, deflects off the pads into the leg side",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123,"Rashid to Mohammad Rizwan, 1 run, tossed up, more air this time, comes forward and drives through the off side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
124,"Woakes to Mohammad Rizwan, 2 runs, walks into a solid forward push which beats the cover ring and is wide of the sweeper",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
125,"Woakes to Mohammad Rizwan, no run, nips back a touch from outside off and is defended",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,"Woakes to Mohammad Rizwan, FOUR, a short delivery and it's a lesser-spotted boundary, quickly onto with a pull behind square which bisects the two men out",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
127,"Woakes to Mohammad Rizwan, no run, full and straight again, clipped to mid-on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,"Woakes to Mohammad Rizwan, 1 run, low full toss, clipped through midwicket but only costs a single",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
129,"Woakes to Sarfraz Ahmed, 1 run, driven to deep cover",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
130,"Rashid to Sarfraz Ahmed, 1 run, swept from around off stump, a very full delivery, to deep square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
131,"Rashid to Mohammad Rizwan, no run, opens the face to a full ball outside off and finds short third man",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,"Rashid to Mohammad Rizwan, no run, big appeal for lbw! It's another googly. Given not out and Rashid has persuaded Morgan to review it. Might be spinning too much. And it's orange on clipping leg stump. Very tight.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,"Rashid to Mohammad Rizwan, no run, nice bowling, that was another wrong 'un, touch shorter and defended",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,"Rashid to Mohammad Rizwan, 1 run, paddled from outside off behind square on the leg side",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
135,"Rashid to Sarfraz Ahmed, 1 run, full and straight, forced through straight midwicket",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
136,"Ali to Sarfraz Ahmed, no run, pushed into midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,"Ali to Sarfraz Ahmed, 1 run, low full toss which is pushed down the ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
138,"Ali to Mohammad Rizwan, no run, full outside off, pushed to the covers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,"Ali to Mohammad Rizwan, no run, straight delivery which is nudged to leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,"Ali to Mohammad Rizwan, no run, comes forward, pushed into the point region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,"Ali to Mohammad Rizwan, no run, uses his feet but can only find cover...Moeen races through his first over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,"Rashid to Sarfraz Ahmed, no run, goes deep in the crease and drives to mid-on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,"Rashid to Sarfraz Ahmed, 2 runs, sweeps again, from outside off, between deep midwicket and deep square",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
144,"Rashid to Sarfraz Ahmed, no run, more flight, full on the stumps, driven to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,"Rashid to Sarfraz Ahmed, no run, a little shorter, it's a googly, but he picks out backward point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146,"Rashid to Sarfraz Ahmed, no run, drives back to the bowler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,"Rashid to Sarfraz Ahmed, 1 run, defended from middle and leg, runs into the leg side and they can nab a quick single",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
148,"Ali to Sarfraz Ahmed, no run, full and straight, driven to midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149,"Ali to Sarfraz Ahmed, 1 run, played straighter this time and finds space down the ground",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
150,"Ali to Mohammad Rizwan, no run, starts a little wider, hint of turn, pushed to cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
151,"Ali to Mohammad Rizwan, 1 leg bye, appeal for lbw appeal as he goes for a sweep, seemed to be heading leg side",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
152,"Ali to Sarfraz Ahmed, no run, a touch quicker and flatter, pushed to midwicket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,"Ali to Sarfraz Ahmed, no run, drives to point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154,"Rashid to Mohammad Rizwan, no run, another lbw shout, full on leg stump, probably pitched outside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,"Rashid to Mohammad Rizwan, no run, defended from middle and leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,"Rashid to Mohammad Rizwan, 1 run, brings out the sweep and gets it behind square but England won't worry about singles",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
157,"Rashid to Sarfraz Ahmed, 1 run",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
158,"Rashid to Mohammad Rizwan, 2 runs, paddles a low full toss through fine leg, deep square is able to scoot around the boundary rope",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0,0,
159,"Rashid to Mohammad Rizwan, no run, cuts and misses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,"Ali to Sarfraz Ahmed, 1 run, plays with the spin through midwicket",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
161,"Ali to Mohammad Rizwan, no run, down the pitch, nearly yorks himself, drills the ball back to Moeen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
